parameter,name,unit
"SWH Signific.height,combined wind waves+swell m","SWH Signific.height,combined wind waves+swell","m"
"MPPS Mean period of primary swell s","MPPS Mean period of primary swell","s"
"MDPS Mean direction of primary swell Degree true","MDPS Mean direction of primary swell","Degree"
